# Every line that begins with # is a comment
# File name format: graph_n_m.txt, where n: number of vertices and m: number of edges
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Each "square" is 100x100.
# Vertices: Index, SquareX, SquareY
Vertices
0,8,1
1,2,3
2,2,7
3,4,2
4,9,5
5,8,2
6,8,2
7,1,1
8,3,9
9,2,5
10,0,3
11,9,0
12,0,5
13,3,9
14,3,9
15,0,8
16,0,5
17,6,7
18,5,0
19,2,9
20,3,5
21,2,3
22,1,1
23,5,5
24,1,7
25,5,3
26,8,6
27,3,0
28,1,3
29,7,2
30,1,6
31,4,0
32,0,0
33,2,5
34,9,2
35,6,4
36,5,3
37,3,4
38,5,8
39,2,0
40,9,4
41,2,9
42,8,5
43,0,6
44,7,9
45,4,8
46,7,4
47,3,1
48,5,2
49,8,1
50,2,9
51,6,9
52,6,7
53,0,1
54,2,2
55,5,4
56,1,2
57,3,4
58,1,6
59,9,7
60,7,1
61,5,5
62,8,4
63,3,8
64,0,8
65,5,1
66,0,8
67,1,6
68,9,9
69,2,2
70,5,7
71,1,4
72,3,0
73,7,3
74,4,3
75,4,6
76,6,4
77,8,2
78,3,0
79,9,9
80,3,3
81,9,7
82,3,9
83,4,1
84,4,4
85,8,9
86,7,7
87,7,5
88,8,3
89,9,5
90,0,5
91,0,1
92,5,7
93,8,6
94,3,8
95,1,5
96,7,1
97,5,0
98,5,6
99,9,2
100,4,6
101,4,4
102,0,0
103,4,3
104,5,3
105,8,5
106,2,2
107,2,6
108,4,5
109,0,8
110,0,6
111,6,4
112,3,3
113,4,2
114,2,9
115,8,4
116,9,2
117,0,5
118,8,6
119,4,2
120,8,3
121,7,6
122,3,7
123,6,1
124,9,1
125,0,3
126,7,8
127,2,0
128,0,8
129,0,0
130,5,6
131,5,5
132,0,2
133,9,8
134,7,3
135,3,0
136,5,7
137,9,0
138,0,1
139,1,7
140,4,5
141,0,5
142,4,9
143,6,8
144,7,4
145,9,1
146,6,5
147,5,0
148,2,2
149,8,9
150,5,1
151,3,9
152,4,4
153,5,8
154,8,3
155,3,6
156,7,9
157,9,5
158,3,7
159,0,3
160,3,0
161,3,1
162,0,4
163,7,6
164,1,0
165,7,0
166,5,0
167,5,1
168,8,8
169,9,0
170,8,7
171,0,5
172,0,6
173,6,0
174,6,1
175,4,8
176,1,0
177,3,1
178,9,7
179,4,0
180,5,9
181,1,6
182,4,9
183,1,3
184,6,1
185,5,8
186,2,6
187,9,2
188,6,5
189,2,8
190,9,1
191,9,5
192,0,9
193,9,2
194,3,8
195,8,1
196,6,1
197,7,7
198,1,0
199,1,2
# Edges: fromIndex, toIndex, edgeCost
Edges
0,11,152
0,12,1002
0,17,823
0,24,1102
0,30,870
0,32,877
0,36,631
0,40,348
0,41,1061
0,42,374
0,43,1038
0,46,478
0,47,516
0,48,398
0,52,927
0,55,634
0,57,863
0,58,894
0,61,454
0,67,1396
0,68,795
0,70,1364
0,75,690
0,76,481
0,79,841
0,85,783
0,87,688
0,88,224
0,90,1440
0,93,576
0,98,584
0,99,82
0,106,746
0,107,1212
0,109,1083
0,112,573
0,115,299
0,122,791
0,124,79
0,125,957
0,128,1599
0,135,687
0,147,383
0,150,524
0,154,188
0,156,835
0,157,363
0,159,1110
0,162,1075
0,165,230
0,167,366
0,168,765
0,173,253
0,174,278
0,179,425
0,181,856
0,194,1084
0,197,901
0,199,731
1,4,1289
1,6,799
1,7,421
1,8,801
1,11,730
1,19,829
1,26,1194
1,27,569
1,28,159
1,30,303
1,35,359
1,39,339
1,41,662
1,42,624
1,43,398
1,44,1326
1,46,456
1,50,722
1,51,660
1,52,590
1,53,346
1,58,497
1,60,663
1,65,638
1,67,361
1,72,352
1,74,172
1,77,719
1,81,884
1,82,951
1,84,188
1,86,911
1,87,565
1,93,622
1,96,636
1,100,309
1,102,464
1,103,137
1,110,751
1,111,420
1,113,233
1,120,654
1,122,369
1,126,651
1,131,353
1,137,781
1,138,397
1,140,286
1,149,935
1,151,829
1,158,393
1,160,496
1,161,298
1,163,536
1,166,410
1,167,624
1,172,791
1,174,530
1,175,621
1,185,572
1,187,896
1,191,1418
1,192,638
1,193,724
1,195,782
1,196,807
2,7,592
2,13,458
2,18,761
2,20,444
2,29,713
2,30,79
2,35,749
2,37,540
2,38,431
2,42,827
2,51,501
2,52,488
2,53,569
2,55,694
2,56,459
2,59,1348
2,64,237
2,71,258
2,76,631
2,77,1076
2,79,1056
2,82,286
2,86,591
2,88,869
2,92,308
2,93,1220
2,94,227
2,95,166
2,97,957
2,98,382
2,101,450
2,105,1064
2,111,534
2,116,1126
2,119,586
2,131,353
2,138,843
2,139,93
2,144,589
2,146,577
2,147,1009
2,154,1304
2,159,390
2,165,1586
2,166,957
2,167,827
2,171,259
2,175,319
2,176,914
2,181,118
2,190,1606
2,194,215
3,4,698
3,13,887
3,23,274
3,24,606
3,28,251
3,31,232
3,32,709
3,37,203
3,44,1019
3,45,768
3,47,141
3,60,391
3,67,743
3,70,491
3,71,431
3,73,308
3,80,100
3,88,657
3,89,642
3,98,689
3,99,903
3,100,496
3,102,431
3,113,55
3,115,545
3,118,885
3,122,523
3,123,364
3,132,417
3,135,252
3,137,611
3,140,395
3,144,413
3,145,581
3,151,920
3,153,563
3,159,485
3,162,597
3,166,309
3,168,737
3,170,648
3,175,769
3,178,732
3,188,424
3,192,1029
4,7,1668
4,10,1019
4,17,441
4,27,1128
4,32,1643
4,33,1149
4,35,733
4,36,545
4,38,654
4,40,159
4,42,192
4,43,1473
4,46,586
4,48,704
4,49,514
4,54,900
4,64,1019
4,70,512
4,71,1005
4,72,821
4,77,357
4,82,758
4,83,979
4,84,574
4,86,483
4,89,160
4,92,845
4,98,447
4,99,416
4,101,1096
4,110,1048
4,122,1016
4,124,430
4,132,2027
4,133,380
4,137,658
4,141,1818
4,147,726
4,150,622
4,151,790
4,152,811
4,153,580
4,157,115
4,158,744
4,159,1110
4,161,915
4,162,1186
4,167,969
4,174,1096
4,175,681
4,176,967
4,179,996
4,181,1065
