# All lines that begin with # are a comment
# Vertices: Index, SquareX, SquareY
Vertices
0,5,2
1,4,6
2,5,4
3,0,3
4,2,0
5,2,0
6,0,7
7,8,4
8,1,4
9,8,0
10,6,3
11,8,1
12,6,9
13,2,8
14,6,5
15,4,9
16,8,8
17,5,0
18,0,3
19,6,0
20,5,5
21,1,5
22,1,6
23,9,0
24,9,4
25,1,2
26,1,4
27,2,1
28,8,0
29,1,7
30,7,4
31,2,7
32,7,0
33,9,9
34,2,2
35,6,1
36,6,7
37,0,6
38,8,2
39,3,7
40,8,6
41,4,1
42,5,4
43,0,1
44,3,9
45,8,9
46,2,3
47,5,3
48,4,6
49,2,7
50,0,5
51,2,2
52,8,7
53,8,3
54,1,2
55,0,3
56,2,0
57,4,9
58,7,8
59,2,7
60,8,8
61,5,3
62,8,9
63,7,1
64,6,0
65,3,1
66,1,5
67,0,8
68,6,6
69,1,7
70,4,6
71,5,3
72,1,8
73,8,6
74,1,0
75,7,1
76,8,7
77,2,2
78,4,4
79,6,0
80,3,6
81,0,1
82,2,3
83,9,3
84,0,2
85,3,6
86,1,0
87,3,4
88,5,9
89,2,0
90,0,6
91,9,3
92,9,8
93,4,3
94,4,6
95,2,7
96,1,4
97,3,6
98,6,9
99,3,0
100,9,1
101,3,3
102,7,0
103,8,0
104,6,6
105,4,2
106,5,5
107,8,1
108,2,9
109,1,1
110,8,2
111,8,1
112,8,0
113,9,9
114,9,3
115,8,6
116,3,2
117,1,7
118,9,4
119,4,8
120,7,4
121,8,7
122,5,5
123,6,9
124,9,2
125,9,8
126,8,9
127,8,8
128,8,1
129,5,8
130,5,0
131,4,1
132,3,2
133,4,7
134,2,6
135,9,0
136,9,0
137,3,4
138,9,5
139,9,3
140,3,8
141,1,3
142,0,9
143,2,8
144,3,0
145,5,5
146,8,6
147,0,5
148,0,7
149,4,1
150,3,0
151,6,9
152,7,9
153,9,3
154,1,0
155,0,9
156,8,2
157,3,9
158,4,5
159,4,7
160,3,3
161,1,8
162,4,0
163,4,9
164,9,6
165,6,1
166,5,8
167,8,5
168,9,2
169,3,6
170,0,0
171,2,3
172,1,9
173,5,0
174,1,5
175,0,5
176,9,2
177,2,7
178,2,6
179,2,5
180,6,9
181,4,9
182,2,8
183,4,5
184,2,1
185,7,5
186,7,3
187,2,5
188,1,8
189,2,0
190,3,7
191,4,9
192,2,2
193,0,4
194,2,2
195,5,6
196,5,1
197,9,6
198,3,8
199,3,6
200,9,2
201,6,9
202,2,6
203,2,1
