# Coloring Problem, generated at: Sun Feb 21 19:34:26 EST 2021
# Colors, should result in no assignment?
colors = 4
# Graph: 
0,1
0,2
0,3
4,5
4,6
4,7
1,5
1,8
5,9
10,11
10,12
10,13
14,15
14,6
14,16
11,15
11,17
15,18
12,6
12,19
20,21
20,13
20,17
21,22
21,23
13,24
24,25
24,26
27,28
27,16
27,18
28,29
28,30
16,9
9,31
32,33
32,17
32,34
33,18
33,35
36,37
36,38
36,39
37,29
37,40
35,29
35,41
34,22
34,41
22,42
43,42
43,38
43,44
42,45
41,38
46,39
46,47
46,48
49,44
49,50
49,51
39,44
8,52
8,31
52,47
52,53
40,47
40,30
31,30
54,55
54,25
54,56
55,50
55,57
45,50
45,23
25,23
2,58
2,53
58,57
58,59
48,51
48,53
51,57
26,56
26,19
56,59
19,7
59,3
7,3
29,30
26,28
26,30
25,44
26,42
41,44
33,36
36,40
33,40
30,33
30,40
25,36
37,38
38,39
38,48
37,39
39,41
37,41
30,39
47,48
48,49
42,46
46,58
46,56
56,58
49,53
49,55
53,55
36,41
41,55
36,55
51,55
55,58
51,58
55,56
49,56
49,57
56,57
42,49
42,58
49,58
